अंगत: निजी
वखाण: प्रशंसा
वखाणवुं: प्रशंसा_करना
वखार: बखार
वखोडवुं: आलोचना_करना
वगर: बिना
वगेरे: इत्यादि
वगेरेनी: इत्यादि_की
वगेरेनुं: इत्यादि_का
वगेरेनो: इत्यादि
वघारवुं: बघारना
वचलुं: बीच_का
वच्चेना: बीचका
वच्चेनो: बीच_का
वछेरी: बछेड़ी
वछेरुं: बछरू
वछोडवुं: बिलग_करना
वट: प्रतिष्ठा
वटहुकम: अध्यादेश
वटाव: छूट
वटाववुं: पार_करना
वटेमार्गु: यात्री
वड: बरगद
वडवो: पूर्वज
वडससरो: बड़ससुर
वडसासु: बड़सास
वडील: बड़ेबूढ़े
वडे: साथ
वढवुं: झगड़ा_करना
वणवुं: बुनना
वणसवुं: खराब_होना
वतावीखे: दिखाएँ
वद: कृष्ण_पक्ष
वदन: चेहरा
वधवुं: वृद्धि_करना
वधारवुं: वृद्धि_करना
वधारा: वृद्धि
वधारानी: बढत_का
वधारे: अतिरिक्त
वधारो: वृद्धि
वधाववुं: बधाई_देना
वधी: बढ़ी
वधु: अधिक
वधुमां: और
वध्यो: बढ़ा
वपराई: उपयोग_का
वपराश: खपत
वमळ: भंवर
वय: उम्र
वये: आयु_में
वयोवृध्ध: वयोवृद्ध
वरघोडीयां: वाराती
वरणी: चयन
वरतवुं: वर्ताव_करना
वरतारो: पूर्वानुमान
वरवुं: कुरूप
वरस: वर्ष
वरसाद: बरसात
वराळ: भाप
वरु: भेड़िया
वरेडुं: रस्सी
वर्चस: वर्चस्व
वर्चस्वी: शक्तिशाली
वर्णववुं: वर्णन_करना
वर्तणूंक: आचरण
वर्तन: आचरण
वर्तमानपत्र: अखबार
वर्तुळ: वृत्त
वर्ष_ना: बरस_का
वर्षनां: वर्ष_का
वर्षनुं: वर्ष_का
वर्षे: वर्ष_में
वर्षो: वर्ष
वर्षोना: वर्षों_के
वर्षोनुं: वर्षों_का
वर्षोवर्ष: बरसों_बरस
वलण: प्रवृत्ति
वळगण: सम्बन्ध
वळगाड: घृणा
वळतर: लाभ
वळी: के_अलावा
वसति: बस्ती
वसवुं: बसना
वसाववुं: बसाना
वसाहत: वसाहट
वसियतनामुं: वसीयतनामा
वसूकवुं: बिसुकना
वस्ती: बस्ती
वस्तीगणतरी: जनगणना
वस्तुओ: वस्तुएँ
वस्तुलक्षी: तटस्थ
वहाण: जलयान
वहाल: स्नेह
वही: बही
वहीवट: प्रशासन
वहीवटी: प्रशासनिक
वहेंचणी: वितरण
वहेंचवुं: बांटना
वहेंचाशे: बाँटा_जाएगा
वहेम: संदेह
वहेमी: संदेहास्पद
वहेलुं: जल्दी
वहेवुं: बहना
वा: या
वांक: समस्या
वांचती: पढ़ती
वांचनार: पढने_वाला
वांचवुं: पढ़ना
वांच्यां: पढ़ा
वांझणुं: बांझ
वांदरी: बन्दरिया
वांदरुं: बन्दर
वांदरो: बन्दर
वांधो: आपत्ति
वांसलडी: बांसुरी
वांसळी: बांसुरी
वाकय: वाक्य
वागवुं: चोट_लगना
वाग्या: बजे
वाघ: बाघ
वाचको: पाठको
वाचा: भाषण
वाछडी: बछिया
वाज: थका_हुआ
वाजबी: उचित
वाजापेटी: हार्मोनियम
वाट: बत्ती
वाटकी: कटोरी
वाटाघाट: मोलभाव
वाडाबंधी: समूहवाद
वाडी: फूलबारी
वाढ: घाव
वाढवुं: काटना
वाणिजय: वाणिज्य
वाणिज्यनो: व्यापार_का
वाणियण: बनियाइन
वाणियो: बनिया
वात: बात
वातचीत: बातचीत
वातो: बातें
वादळ: बादल
वादळुं: बादल
वादिळयुं: बदली
वान: रंग
वामणुं: छोटा
वायडाई: अति_बुद्धिमत्ता
वायदो: वायदा
वायरो: बयार
वारंवार: बारबार
वारवुं: रोकना
वारस: वारिश
वारसागत: वंशानुगत
वारसो: उत्तराधिकार
वाराफरती: एक_के_बाद_एक
वारेघडीये: बारबार
वारो: बारी
वाळ: बाल
वाळंद: नाई
वाळवा: पौटाना
वाळवी: वापस_लौटाना
वाळवुं: लौटाना
वाळा: वाला
वाळी: बाली
वाळेलो: वापस_किया_हुआ
वावटो: झण्डा
वावड: खबर
वावेतर: बुआई
वासण: बर्तन
वासणकूसण: बर्तन
वासवुं: के_पास
वासी: बासी
विकराळ: भयानक
विकसवुं: विकास_करना
विकसी: बिकसी
विकार: गिरावट
विखवाद: विवाद
विखेरवुं: बिखेरना
विगत: सूक्ष्मता_सहित
विगते: सूक्ष्मता_पूर्वक
विगतोनी: की_सूक्ष्मताओं_की
विगतोनुं: सूक्ष्मताओं_का
विगतोनो: सूक्ष्मताओं_का
विग्रह: युद्ध
विघातक: विनाशकारी
विचरवुं: विचरना
विचारणा: विचार
विचारवुं: विचार_करना
विचारी_रही: सोच_रही
विचारीए: विचार_कीजिए
विचार्युं: सोचा
विजोग: वियोग
विटंबणा: कठिनाई
विडंबन: बिडम्बना
विताडवुं: प्रताड़ित_करना
विदाय: बिदाई
विधायक: रचनात्मक
विनंती: विनती
विनवणी: विनय
विनवी: विनती
विना: बिना
विभकत: विभक्त
विभकित: विभक्ति
विभाजय: विभाज्य
विमानमथक: हवाई_अड्डा
वियावुं: जन्म_देना
विरमवुं: विराम_करना
विलसवुं: चमकना
विलावुं: मुर्झाना
विशाळ: विशाल
विशे: के_बारे_में
विश्लेषणनो: विश्लेषण_का
विषे: के_बारे_में
विसामो: विश्राम
विस्तरवुं: विस्तार_करना
विहरवुं: बिहरना
वींछण: बिच्छू
वींछी: बिच्छू
वींजणो: पंखा
वींधवुं: चुभना
वीखरवुं: बिखरना
वीगत: विवरण
वीछळवुं: साफ_करना
वीजळी: बिजली
वीणवुं: बीनना
वीती_गएलां: बीता_हुआ
वीफरवुं: विफर_जाना
वीमो: बीमा
वीशी: धर्मशाला
वृध्ध: वृद्ध
वृध्धि: वृद्धि
वेगळुं: दूर
वेगेरेना: इत्यादि_का
वेचनार: विक्रेता
वेचवुं: बेचना
वेचाण: बिक्री
वेचाणना: बिक्री_का
वेचाणनो: बिक्री_का
वेचेल: बेची_हुयी
वेचेला: बेचा_हुआ
वेडफवुं: बर्बाद_करना
वेधवुं: छेदना
वेपार: व्यापार
वेपारी: व्यापारी
वेर: बैर
वेरणछेरण: बिखरे_हुए
वेरवुं: बिखेरना
वेरागी: वैरागी
वेरान: विरान
वेलण: बेलन
वेलो: लता
वेवाई: समधी
वैद: वैद्य
व्यकित: व्यक्ति
व्यवहारु: व्यवहार्य
व्यवहारो: व्यवहार
शककरियुं: शकरकंद
शककल: चेहरा
शकतां: संभवतः
शकतुं: सकता
शकतो: सकता
शकदार: संदेह_करने_वाला
शकमंद: संदेहास्पद
शकय: शक्य
शकयता: शक्यता
शकरो: बाज
शकवुं: सकना
शकाय: किया_जा_सकता_है
शकित: शक्ति
शकितपूजक: शक्तिपूजक
शकितपूजा: शक्तिपूजा
शके: सकता
शके: सके
शक्यो_न: नहीं_सके
शक्यो_न: नहीं_सके
शमवुं: शमन_करना
शयतान: शैतान
शरणाई: शहनाई
शरत: शर्त
शरदी: सर्दी
शरम: शर्म
शरमाळ: शर्मालु
शरमावुं: शर्माना
शराफ: सर्राफ
शरुआत: आरम्भ
शरू: शुरू
शरूआत: आरम्भ
शस्त्रक्रिया: शल्यक्रिया
शहेर: शहर
शहेरी: शहर
शाक: सब्जी
शाख: साख
शाखाओ: शाखाएँ
शाणुं: बुद्धिमान
शारवुं: छेद_करना
शाळा: पाठशाला
शाहमृग: शुतुरमुर्ग
शाहुकार: साहूकरा
शिंगडुं: सींग
शिखंड: श्रीखण्ड
शिखाउ: सीख
शिखावण: शिक्षा
शिबिर: शिविर
शियाळ: लोमड़ी
शियाळ: शियार
शियाळो: शीत_ऋतु
शिर: सिर
शिस्त: अनुशासन
शी: सरीखी
शीख: सीख
शीखवुं: सीखना
शीतळा: शीतला
शुं: क्या
शुकन: शुभ
शुध्ध: शुद्ध
शुध्धि: शुद्धि
शूळ: कांटा
शेकवुं: सेंकना
शेतरंजी: कालीन
शेरडी: गन्ना
शेरबजारना: शेर_बज़ार_का
शेरहोल्डरनां: अंशधराकों_का
शेरहोल्डरो: अंशधारक
शेरी: गली
शैलि: शैली
शोख: शौक
शोध: खोज
शोधवुं: ढूढ़ना
शोधीए: खोजते_हैं
शोभवुं: शोभा_देना
श्रध्धा: श्रद्धा
श्रध्धाळुं: श्रद्धालु
षष्टि: साठ
षा: क्या
षू: क्या
संकडामण: संकरापन
संकल्पशकित: संकल्पशक्ति
संकाळायेला: जुडे_हुए
संकेलवुं: समेटना
संकोरवुं: प्रज्वलित_करना
संख्याबंध: अनेक
संग: संघ
संगाथ: संगति
संगेमरमर: संगमरमर
संग्रहवुं: संग्रह_करना
संग्रहस्थान: संग्रहालय
संघरवुं: संग्रह_करना
संचालकोना: संचालकों_का
संचालकोनी: संचालकों_की
संचालकोनो: संचालकों_के
संचो: मशीन
संजोग: मिलन
संडास: शौचालय
संतरु: संतरा
संताकूकडी: लुकाछिपी
संताडवुं: छिपना
संतावुं: छिपना
संतोषाती: संतोष_होती
संधिकाळ: संधिकाल
संप: एकता
संपर्कनो: संपर्क_का
संबोधवुं: संबोधित_करना
संभारवुं: याद_करना
संभाळ: देखभाल
संमत: सम्मत
संमति: सम्मति
संमेलन: सम्मेलन
संयुकत: संयुक्त
संयोजक: आयोजक
सई: दर्जी
सकंजो: शिकंजा
सकळ: भाग्यशाली
सक्रि: सक्रिय
सखणुं: शान्त
सखावत: दान
सखेद: खेद_सहित
सख्ताई: कठोरता
सगड: पदचिह्न
सगपण: नाता
सगां: सगा
सगुंवहालुं: सगे_संबन्धी
सगुंसंबंधी: सगे_संबन्धी
सघळुं: सकल
सजज: सज्जित
सजजन: सज्जन
सजवुं: सजना
सटीक: टीका_सहित
सटोडियो: सटोरिया
सटोसट: सटासट
सट्टो: सट्टा
सडवुं: सड़ना
सडसठ: सरसठ
सडसडाट: बिना_रुके
सडो: सड़न
सतामणी: उत्पीडन
सत्कारवुं: स्वागत_करना
सत्तर: सत्रह
सत्ताणुं: संतानबे
सत्तावीस: सताइस
सत्त्व: सत्व
सदाकाळ: सदा_के_लिए
सद्धर: विश्वासार्ह
सद्धरता: साख
सद्धरतानो: स्थायित्व_का
सद्भागी: भाग्यशाली
सध्धर: धनी
सने: सन्
सनेपात: सन्निपात
सन्मान: सम्मान
सन्माने: सम्मान_देता
सपनुं: सपना
सपरमुं: पवित्र
सपूचुं: सम्पूर्ण
सफरजन: सेब
सफळ: सफल
सबळ: सबल
सभर: भरपूर
सम: प्रतिज्ञा
समचोरस: वर्ग
समज: समझ
समजण: समझ
समजणुं: चौड़ा
समजवा: समझने
समजवुं: समझना
समजी: समझ_कर
समजु: बुद्धिमान
समजूती: समझ
समतुला: संतुलन
समद्रष्टि: समदृष्टि
समयनां: समय_का
समयसर: समय_से
समयसूचक: तेज_दिमाग
समरवुं: स्मरणन_करना
समर्पवुं: समर्पित_करना
समशेर: तलवार
समारवुं: मरम्मत_करना
समीसांज: संध्या
समूचित: समुचित
समूदाय: समुदाय
समृध्ध: समृद्ध
समृध्धि: समृद्धि
समेटवुं: समेटना
समोवडुं: समान
सरकणुं: सरकने_वाली
सरकवुं: सरकना
सरको: सिरका
सरखा: समान
सरखामणि: तुलना
सरखामणी: तुलना
सरखामणीए: तुलना_करने_पर
सरखाववा: तुलना_करने
सरखाववुं: तुलना_करना
सरखावी: तुलना_करते_हुए
सरखावीए: तुलना_करें
सरखुं: बराबर
सरदारी: नेतृत्व
सरपाव: पुरस्कार
सरभर: बराबर
सरभरा: आतिथ्य
सरमुखत्यारशाही: तानाशाही
सरमुखत्यारी: तानाशाही
सरळ: सरल
सरळता: सरलता
सरवाळो: योग
सरवैया: लेखाजोखा
सरवैयानी: वर्षांत_हिसाब_की
सरवैयानुं: वार्षिकांत_जमा_उधार_का
सरवैयु: बॅलंस_शीट
सरवैयुं: बॅलंस_शीट
सरस: अच्छा
सरसामान: घरेलू_चीजें
सरेराश: औसत
सर्जवुं: सृजन_करना
सर्जाशे: सर्जेगा
सर्वशकितमान: सर्वशक्तिमान
सळंग: अटूट
सळगवुं: सुलगना
सळेखम: ठंड
सवलत: सुविधा
सवार: सुबह
सवारे: सुबह
सविस्तर: विस्तृत
सवेळा: समय_से
सशकत: सशक्त
ससरो: ससुर
सस्तुं: सस्ती
सहानुभाव: सहानुभूति
सहाय: सहायता
सही: हस्ताक्षर
सहेज: थोड़ा_सा
सहेलुं: आसान
सांकडुं: संकरा
सांकळ: सांकल
सांकळवुं: आपस_में_जोड़ना
सांकळी: हार
सांकळुं: पायल
सांज: सांझ
सांजे: शाम_को
सांधवुं: जोड़ना
सांभळवुं: सुनना
साकर: शक्कर
साग: सागौन
साचववुं: संरक्षित_करना
साचा: सच्चा
साची: सच
साचुं: सच्चा
साचो: सच्चा
साजुं: स्वस्थ
साटुं: मोलतोल
साटे: के_बदले
साडत्रीस: सैंतीस
साडलो: साड़ी
साडासाती: साढ़ेसाती
साडी: साड़ी
साढु: साढ़ू
साणसी: संड़सी
सातम: सप्तमी
सातमुं: सातवाँ
साथळ: जंघा
साथीदार: साथी
साथे: के_साथ
साद: आवाज
सादाई: सादगी
सादुं: सादा
साधनोनो: साधनों_का
साधवुं: साधना_करना
सानुकूळ: सानुकूल
साप: साँप
सापण: साँपिन
साफसूफ: साफसफाई
साफो: साफा
साबदुं: सावधान
साबिती: सबूत
साबु: साबुन
सामटुं: एकत्रित
सामनो: सामना
सामाजीक: सामाजिक
सामे: के_सामने
साम्राजय: साम्राज्य
सायुजय: सायुज्य
सारवार: इलाज
सारासारी: सौहार्दपूर्ण_संबन्ध
सारी: अच्छी
सारी_रीते: ठीक_से
सारुं: अच्छा
सारो: अच्छा
सालवुं: सालना
सालोसाल: हर_साल
साल्लो: साड़ी
साळी: साली
साळो: साला
साव: पूर्णतः
सावकुं: सौतेला
सावचेत: सावधान
सावचेती: सावधानी
सावज: शेर
सावरणी: झाड़ू
सावरणो: झाड़ू
सासरी: ससुराल
सासु: सास
साहसना: साहस_का
साहेब: साहब
साहेबा: साहिबा
साहेबी: समृद्धि
साहेली: सहेली
सिंचवुं: सींचना
सिंहण: सिंहिनी
सिकको: सिक्का
सितारो: सितारा
सित्तेर: सत्तर
सित्याशी: सत्तासी
सित्योतेर: सतहत्तर
सिद्धांतनो: सिद्धान्त_की
सिद्धांतो: सिद्धांत_का_बहुअवचन
सिध्धान्त: सिद्धान्त
सिपाई: सिपाही
सिफारस: सिफारिश
सिलक: बचत
सिळयो: सिल्ली
सिवडामण: सिलाई
सिसकारवुं: सिसकारना
सिसकारो: सिसकार
सिसोटी: सीटी
सींचाई: सिंचाई
सीझववुं: सीझाना
सीझवुं: सिझना
सीडी: सीढ़ी
सीधुं: सीधा
सीवण: सिलाई
सीववुं: सीना
सु: क्या
सुकान: सन
सुकावुं: सूखना
सुखड: चन्दन
सुघड: सुघड़
सुडताळीस: सैंतालिस
सुडोळ: सुडौल
सुतराउ: सूती
सुद: शुक्लपक्ष
सुधरवुं: सुधरना
सुधराई: नगरपालिका
सुधारवुं: सुधारना
सुधारानां: सुधार_के
सुधारानी: सुधार_की
सुधारो: सुधार
सुधी: तक
सुनावणी: सुनवाई
सुप्रसिध्ध: सुप्रसिद्ध
सुरीलुं: सुरीला
सुलेह: सुलह
सुलेहनामुं: सुलहनामा
सुवाकय: सुवाक्य
सुवाळुं: चिकना
सुसजज: सुसज्जित
सुसवाटो: बयार
सूंघवुं: सूंघना
सूंठ: सोंठ
सूकववुं: सुखाना
सूकुं: सूखी
सूग: मतली
सूचन: सूचना
सूचवतो: दर्शाता
सूचववुं: सूचित_करना
सूचवे: सुझाता_है
सूचि: सूची
सूजवुं: सूजना
सूमसाम: सूनसान
सूर: सुर
सूवर: सुअर
सूवुं: सोना
सेंकडो: सैकड़ा
सेंथी: मांग
सैध्धान्तिक: सैद्धान्तिक
सो: सौ
सोंघवारी: सस्ती
सोंपवुं: सौंपना
सोगन: सौगंध
सोगात: सौगात
सोजो: सूजन
सोडम: सुगंध
सोदागर: सौदागर
सोदो: सौदा
सोनुं: सोना
सोनेरी: सुनहरा
सोपारी: सुपारी
सोबत: साथ
सोय: सुई
सोयो: सुआ
सोळ: सोलह
सोहामणुं: शोभायुक्त
सौ: सभी
सौप्रथम: सर्वप्रथम
स्खलन: गलती
स्टोक: स्टॉक
स्टोकनी: स्टॉक_की
स्टोकनुं: स्टॉक_का
स्टोकनो: स्टोक_का
स्थपति: वास्तुकार
स्थळ: स्थल
स्थानिक: स्थानीय
स्थापक: संस्थापक
स्थितिनुं: स्थिति_का
स्थितिनो: स्थिति_का
स्पष्टपणे: स्पष्टता_से
स्मरवुं: स्मरण_करना
स्मशान: शमशान
स्वरूपे: स्वरूप_से
हंकारवुं: हंकारना
हंगामी: अस्थायी
हंमेश: हमेशा
हंमेशां: हमेशा
हकीकत: वास्तविकता
हकीकतो: सच्चाईयाँ
हकीकतोनो: हकिकतों_का
हचमचवुं: हचमचाना
हजारनो: हजार_का
हजी: फिर_भी
हजी_सुधी: फिर_भी
हजु: फिर_भी
हजु_पण: फिर_भी
हठवुं: हटना
हडताल: हड़ताल
हडपची: ठोड़ी
हणवुं: हनन_करना
हता: थे
हतां: थे
हती: थी
हतुं: था
हतो: था
हत्यारो: हत्यारा
हथेळी: हथेली
हथोटी: कौशला
हथोडी: हथौड़ी
हमणां: अभी_अभी
हमेश: हमेशा
हरख: हर्ष
हरघडी: प्रतिपल
हरण: हिरण
हरतुंफरतुं: स्वस्थ
हरायुं: अवारा
हरिकाई: स्पर्धा
हरियाळी: हरियाली
हरीफ: प्रतियोगी
हरीफाई: प्रतियोगिता
हरोळ: पंक्ति
हलकाई: नीचता
हलकुं: हल्का
हलनचलन: आंदोलन
हलवो: हलवा
हलाववुं: हिलाना
हळ: हल
हळदर: हल्दी
हळवे: धीरे_धीरे
हळवेथी: धीरे_से
हवामान: जलवायु
हवालदार: हवलदार
हवालाओ: हवाले
हवालो: हवाला
हवे: अब
हवे_अधिकार: अभी
हवेथी: अब_से
हशे: कोई_बात_नहीं
हसवुं: हंसना
हसामणुं: हास्यास्पद
हस्तकळा: हस्तकला
हस्तप्रत: पाण्डुलिपि
हा: हाँ
हा_ना: हाँ_ना
हांकवुं: हांकना
हांफवुं: हांफना
हांसी: हंसी
हाक: हांक
हाजर: उपस्थित
हाजरजवाबी: हाजिरजबाबी
हाजरी: उपस्थिति
हाडकुं: हाड़
हाडमारी: कठिनाई
हाडवैद: हड्डी_का_डॉक्टर
हाथ: हात
हाथकडी: हथकड़ी
हाथचालाकी: हाथ_की_सफाई
हाथणी: हथिनी
हाथो: हत्था
हारवुं: हारना
हालकडोलक: अस्थिर
हिंमत: साहस
हिचकारुं: डरपोंक
हिलचाल: गतिविधियाँ
हिसाबीशास्त्रनी: हिसाब_शास्त्र_की
हिसाबो: हिसाब
हिसाबोना: हिसाबों_के
हिसाबोनुं: हिसाबों_का
हिस्सो: हिस्सा
हीजडो: हिजड़ा
हीबकवुं: सिसकना
हीबकुं: सिसकी
हीरो: हीरा
हुं: मैं
हुकको: हुक्का
हुकम: आदेश
हुमलो: हमला
हुल्लड: दंगा
हूंडियामण: विनिमय_दर
हूको: हुक्का
हेत: प्यार
हेतुओ: हेतु
हेतुसर: हेतु_पूर्वक
हेरानगति: कठिनाई
हेली: तेज_वर्षा
हेवानियत: हैवानियत
हेसियत: क्षमता
होई: होकर
होज: हौज
होजरी: पेट
होठ: ओठ
होडी: नौका
होता: होते_हुए
होद्दो: पद
होनारत: दुर्घटना
होय़: होगी
होय: होता_है
होळी: होली
होवा: होते_हुए
होवां: होते_हुए
होवी: होनी
होवुं: होना
होवो: होना
होहा: कोलाहल
अंगूठो: अंगूठा
अत्यारे: इस_समय
अभ्यास: पढ़ाई
अमे: हमने
आ: यह
आणे: इसने
आने: इसे
आपणे: हम
आपणे: हमने
आवता: आने_वाले
आवे: आये
उडाडता: उड़ाने
उतावळ: जल्दबाजी
उनाळो: ग्रीष_ऋतु
कपडां: कपड़ा
करवा: घूमना
कहे: कहा
कहेवाय: कहा_जाता_है
कांडुं: कलाई
के: या
कें: कैसे
केटली: कितनी
केवी: कैसी
कोथळो: झोला
क्यरो_पूंजो: कूड़ा_कचरा
क्याधी: कहाँ_से
क्युं: कौन
खीण: घाटी
घडियाल: घड़ी
छेवटे: अन्ततः
छोकरिओ: लड़कियाँ
जांबु: जामुन
ढचुपचु: ढुलमुल
तमे: तुमने
ताजेतरमां: हाल_ही_में
ते: वह
त्यां: वहाँ
थयुं_छे: हुआ_है
दरजण: दर्जिन
नथी: नहीं_है
नवेसरथी: नवारम्भ
पछी: बाद_में
पण: भी
पहेला: पहेला
पहोंचवुं: पहुंचना
पेला: वह
पेलि: वह
पेसवुं: पेश_करना
फेरफारनां: बदलाव_का
बांधवुं: बांधना
बाबो: लड़का
बीजुं: और
मनोमन: मन_ही_मन
मागवुं: मांगना
मीठो_लीमडो: कढ़ी_पत्ता
मुसद्दो: मसौदा
मेद: वसा
मोटी: बड़ी
मोटो: बड़ा
रीते: ढंग_से
रेबझेब: पसीना_पसीना
वधी: बढ़ी
वधुमां: और
वध्यो: बढ़ा
वरसाद: वर्षा
वांचती: पढ़ती
वांच्यां: पढ़ा
वांधो: विरोध
शब: शव
शियाळुं: शीत_ऋतु_में_उत्पन्न
शोधवुं: ढूढ़ना
सरखा: समान
साथे: के_साथ
सामे: सामने
स्थळ: स्थान
हमणां: इस_समय
